DateID,Date,Year,Quarter,Month,Day
1,2021-09-28,2021,3,9,28
2,2021-09-29,2021,3,9,29
3,2021-09-30,2021,3,9,30
4,2021-10-01,2021,4,10,1
5,2021-10-02,2021,4,10,2
6,2021-10-03,2021,4,10,3
7,2021-10-04,2021,4,10,4
8,2021-10-05,2021,4,10,5
9,2021-10-06,2021,4,10,6
10,2021-10-07,2021,4,10,7
11,2021-10-08,2021,4,10,8
12,2021-10-09,2021,4,10,9
13,2021-10-10,2021,4,10,10
14,2021-10-11,2021,4,10,11
15,2021-10-12,2021,4,10,12
16,2021-10-13,2021,4,10,13
17,2021-10-14,2021,4,10,14
18,2021-10-15,2021,4,10,15
19,2021-10-16,2021,4,10,16
20,2021-10-17,2021,4,10,17
21,2021-10-18,2021,4,10,18
22,2021-10-19,2021,4,10,19
23,2021-10-20,2021,4,10,20
24,2021-10-21,2021,4,10,21
25,2021-10-22,2021,4,10,22
26,2021-10-23,2021,4,10,23
27,2021-10-24,2021,4,10,24
28,2021-10-25,2021,4,10,25
29,2021-10-26,2021,4,10,26
30,2021-10-27,2021,4,10,27
31,2021-10-28,2021,4,10,28
32,2021-10-29,2021,4,10,29
33,2021-10-30,2021,4,10,30
34,2021-10-31,2021,4,10,31
35,2021-11-01,2021,4,11,1
36,2021-11-02,2021,4,11,2
37,2021-11-03,2021,4,11,3
38,2021-11-04,2021,4,11,4
39,2021-11-05,2021,4,11,5
40,2021-11-06,2021,4,11,6
41,2021-11-07,2021,4,11,7
42,2021-11-08,2021,4,11,8
43,2021-11-09,2021,4,11,9
44,2021-11-10,2021,4,11,10
45,2021-11-11,2021,4,11,11
46,2021-11-12,2021,4,11,12
47,2021-11-13,2021,4,11,13
48,2021-11-14,2021,4,11,14
49,2021-11-15,2021,4,11,15
50,2021-11-16,2021,4,11,16
51,2021-11-17,2021,4,11,17
52,2021-11-18,2021,4,11,18
53,2021-11-19,2021,4,11,19
54,2021-11-20,2021,4,11,20
55,2021-11-21,2021,4,11,21
56,2021-11-22,2021,4,11,22
57,2021-11-23,2021,4,11,23
58,2021-11-24,2021,4,11,24
59,2021-11-25,2021,4,11,25
60,2021-11-26,2021,4,11,26
61,2021-11-27,2021,4,11,27
62,2021-11-28,2021,4,11,28
63,2021-11-29,2021,4,11,29
64,2021-11-30,2021,4,11,30
65,2021-12-01,2021,4,12,1
66,2021-12-02,2021,4,12,2
67,2021-12-03,2021,4,12,3
68,2021-12-04,2021,4,12,4
69,2021-12-05,2021,4,12,5
70,2021-12-06,2021,4,12,6
71,2021-12-07,2021,4,12,7
72,2021-12-08,2021,4,12,8
73,2021-12-09,2021,4,12,9
74,2021-12-10,2021,4,12,10
75,2021-12-11,2021,4,12,11
76,2021-12-12,2021,4,12,12
77,2021-12-13,2021,4,12,13
78,2021-12-14,2021,4,12,14
79,2021-12-15,2021,4,12,15
80,2021-12-16,2021,4,12,16
81,2021-12-17,2021,4,12,17
82,2021-12-18,2021,4,12,18
83,2021-12-19,2021,4,12,19
84,2021-12-20,2021,4,12,20
85,2021-12-21,2021,4,12,21
86,2021-12-22,2021,4,12,22
87,2021-12-23,2021,4,12,23
88,2021-12-24,2021,4,12,24
89,2021-12-25,2021,4,12,25
90,2021-12-26,2021,4,12,26
91,2021-12-27,2021,4,12,27
92,2021-12-28,2021,4,12,28
93,2021-12-29,2021,4,12,29
94,2021-12-30,2021,4,12,30
95,2021-12-31,2021,4,12,31
96,2022-01-01,2022,1,1,1
97,2022-01-02,2022,1,1,2
98,2022-01-03,2022,1,1,3
99,2022-01-04,2022,1,1,4
100,2022-01-05,2022,1,1,5
101,2022-01-06,2022,1,1,6
102,2022-01-07,2022,1,1,7
103,2022-01-08,2022,1,1,8
104,2022-01-09,2022,1,1,9
105,2022-01-10,2022,1,1,10
106,2022-01-11,2022,1,1,11
107,2022-01-12,2022,1,1,12
108,2022-01-13,2022,1,1,13
109,2022-01-14,2022,1,1,14
110,2022-01-15,2022,1,1,15
111,2022-01-16,2022,1,1,16
112,2022-01-17,2022,1,1,17
113,2022-01-18,2022,1,1,18
114,2022-01-19,2022,1,1,19
115,2022-01-20,2022,1,1,20
116,2022-01-21,2022,1,1,21
117,2022-01-22,2022,1,1,22
118,2022-01-23,2022,1,1,23
119,2022-01-24,2022,1,1,24
120,2022-01-25,2022,1,1,25
