DateID,CustomerID,AddressID,TransporterID,TransportationTypeID,QuantitySold,TotalAmount
715,1,1,1,1,49,31965.15
715,1,1,8,3,49,31965.15
715,1,1,15,2,49,31965.15
501,2,2,2,2,73,61862.39
501,2,2,3,3,73,61862.39
501,2,2,12,1,73,61862.39
46,3,3,2,2,89,34404.73
46,3,3,3,3,89,34404.73
46,3,3,12,1,89,34404.73
570,4,4,4,3,75,48926.25
570,4,4,14,1,75,48926.25
570,4,4,16,2,75,48926.25
436,5,5,5,1,63,53388.09
436,5,5,7,2,63,53388.09
436,5,5,9,3,63,53388.09
714,6,6,1,1,39,25741.95
714,6,6,8,3,39,25741.95
714,6,6,15,2,39,25741.95
658,7,7,6,1,60,39141.0
658,7,7,10,3,60,39141.0
658,7,7,18,2,60,39141.0
690,8,8,5,1,92,6256.92
690,8,8,7,2,92,6256.92
690,8,8,9,3,92,6256.92
654,9,9,2,2,55,20020.55
654,9,9,3,3,55,20020.55
654,9,9,12,1,55,20020.55
220,10,10,1,1,1,660.05
220,10,10,8,3,1,660.05
220,10,10,15,2,1,660.05
720,11,11,6,1,93,78137.67
720,11,11,10,3,93,78137.67
720,11,11,18,2,93,78137.67
386,12,12,1,1,60,55818.0
386,12,2685,1,1,60,55818.0
386,2685,12,1,1,60,55818.0
386,2685,2685,1,1,60,55818.0
386,12,12,8,3,60,55818.0
386,12,2685,8,3,60,55818.0
386,2685,12,8,3,60,55818.0
386,2685,2685,8,3,60,55818.0
386,12,12,15,2,60,55818.0
386,12,2685,15,2,60,55818.0
386,2685,12,15,2,60,55818.0
386,2685,2685,15,2,60,55818.0
336,13,13,1,1,43,18623.3
336,13,13,8,3,43,18623.3
336,13,13,15,2,43,18623.3
484,14,14,5,1,11,10233.3
484,14,14,7,2,11,10233.3
484,14,14,9,3,11,10233.3
400,15,15,6,1,67,56777.81
400,15,15,10,3,67,56777.81
400,15,15,18,2,67,56777.81
668,16,16,11,2,51,23515.59
668,16,16,13,1,51,23515.59
668,16,16,17,3,51,23515.59
134,17,17,2,2,6,4160.34
134,17,17,3,3,6,4160.34
134,17,17,12,1,6,4160.34
573,18,18,5,1,40,37212.0
573,18,18,7,2,40,37212.0
573,18,18,9,3,40,37212.0
373,19,19,2,2,86,55995.46
373,19,19,3,3,86,55995.46
373,19,19,12,1,86,55995.46
721,20,20,1,1,68,57132.920000000006
721,20,20,8,3,68,57132.920000000006
721,20,20,15,2,68,57132.920000000006
595,21,21,6,1,8,7612.24
595,21,682,6,1,8,7612.24
595,21,974,6,1,8,7612.24
595,682,21,6,1,8,7612.24
595,682,682,6,1,8,7612.24
595,682,974,6,1,8,7612.24
595,974,21,6,1,8,7612.24
595,974,682,6,1,8,7612.24
595,974,974,6,1,8,7612.24
595,21,21,10,3,8,7612.24
595,21,682,10,3,8,7612.24
595,21,974,10,3,8,7612.24
595,682,21,10,3,8,7612.24
595,682,682,10,3,8,7612.24
595,682,974,10,3,8,7612.24
595,974,21,10,3,8,7612.24
595,974,682,10,3,8,7612.24
595,974,974,10,3,8,7612.24
595,21,21,18,2,8,7612.24
595,21,682,18,2,8,7612.24
595,21,974,18,2,8,7612.24
595,682,21,18,2,8,7612.24
595,682,682,18,2,8,7612.24
595,682,974,18,2,8,7612.24
595,974,21,18,2,8,7612.24
595,974,682,18,2,8,7612.24
595,974,974,18,2,8,7612.24
203,22,22,1,1,48,17472.48
203,22,22,8,3,48,17472.48
203,22,22,15,2,48,17472.48
164,23,23,2,2,74,19877.14
164,23,23,3,3,74,19877.14
164,23,23,12,1,74,19877.14
532,24,24,4,3,58,21112.58
